"CODIGO";"SEXO";"VALOR";"N";"N_INF";"N_SUP";"TB";"TB_INF";"TB_SUP";"TAM";"TAM_INF";"TAM_SUP";"TAE";"TAE_INF";"TAE_SUP";"TANE";"TANE_INF";"TANE_SUP";"ESCENARIO"
90;"M";"Mieloma";"1611";"1130";"2246.5125";"17.8788989261785";"12.5407546782009";"24.9318249062051";"7.23256721099253";"5.09022521668832";"10.0694970907565";"10.8165022686372";"7.65305130428819";"15.0036784648507";"17.1040150878647";"12.0619237233012";"23.7740607251344";"A"
91;"M";"Leucemias";"2397";"1904.9875";"2973.0125";"26.6019371359713";"21.1415760199462";"32.9945313431192";"10.8580879933967";"8.69428843702855";"13.4014088536553";"16.1895775197937";"12.99205506089";"19.9569411824939";"25.3254668403768";"20.2305793443453";"31.3074176271629";"A"
99;"M";"Otros";"2317";"1905";"2793";"25.7140960968066";"21.1417147451086";"30.9967502798364";"11.4565790376773";"9.45815005901716";"13.7637495160847";"16.5950017359631";"13.72249067916";"19.9125559773193";"24.7548237818593";"20.42001031394";"29.7612482453684";"A"
100;"M";"Todos, excepto de piel no melanoma";"146060.163964039";"134845.29518982";"159392.414005268";"1620.97759692992";"1496.51483759745";"1768.93908106753";"639.447990037008";"595.796207892823";"691.404622330657";"959.004257156507";"892.343510465103";"1038.31335376406";"1529.51077681706";"1415.99701516038";"1664.46411952356";"Especial"
14;"F";"Cavidad Oral y Faringe";"568";"426";"749";"6.68941854113674";"5.01706390585256";"8.82108184385814";"2.72839343699997";"2.05770320926084";"3.5794524935332";"3.85821494295568";"2.92187298480347";"5.05064628000581";"5.51698690760528";"4.18187271079196";"7.21778795267849";"A"
15;"F";"Esófago";"165";"105";"246";"1.94322897761895";"1.23660025848479";"2.89717774845007";"0.621520584481816";"0.397538188335739";"0.92110964581572";"0.921816530505386";"0.596976226444413";"1.35494960571129";"1.46426378115259";"0.951533037279685";"2.14855391336586";"A"
16;"F";"Estómago";"1602";"1359";"1878";"18.8669868008822";"16.0051404883888";"22.1174789088993";"7.42008713278224";"6.30528862373916";"8.69506495701318";"10.6337197681608";"9.05819228284131";"12.4340832116356";"15.4702728410487";"13.1940928303361";"18.0755127703876";"A"
18;"F";"Cólon";"7145";"5954.4875";"8499.0125";"84.1477033035599";"70.1268645870898";"100.094105279671";"28.8508453163634";"24.3041693321149";"34.0284953881481";"42.7226569256299";"36.0117819250684";"50.3479168140272";"66.0467812150249";"55.4923897236755";"78.0296259847207";"B"
19;"F";"Recto";"3280";"2594";"4110";"38.6290366460009";"30.5499149572337";"48.4040672606902";"16.3057039648782";"12.9502040980786";"20.3773066343809";"23.1404180933675";"18.4074798137594";"28.8915327302214";"32.570689843366";"25.9259311731055";"40.6184268525609";"A"
22;"F";"Hígado";"1025";"817";"1269";"12.0715739518753";"9.62192772554352";"14.9451974096875";"3.63666160741423";"2.92495281170352";"4.46653151582972";"5.5501883240704";"4.47908405881784";"6.79820940089065";"9.0718132125859";"7.30390789513215";"11.1308617801463";"A"
